Assuming page size is 4 KB
Global1: Global memory latency for 1 KB array and varying strides.
   stride (bytes), latency (clocks)
   6400, 186.742480
   6408, 186.532031
   6416, 186.743848
   6424, 186.548926
   6432, 186.741211
   6440, 186.539062
   6448, 186.738184
   6456, 186.545215
   6464, 186.746875
   6472, 186.543164
   6480, 186.747363
   6488, 186.540234
   6496, 186.742285
   6504, 186.550586
   6512, 186.734863
   6520, 186.543848
   6528, 186.755859
   6536, 186.550879
   6544, 186.743555
   6552, 186.548633
   6560, 186.749902
   6568, 186.531055
   6576, 186.743652
   6584, 186.541895
   6592, 186.702637
   6600, 186.548828
   6608, 186.762305
   6616, 186.553711
   6624, 186.748437
   6632, 186.552148
   6640, 186.750488
   6648, 186.493359
   6656, 186.728613
   6664, 186.552930
   6672, 186.744238
   6680, 186.552148
   6688, 186.753125
   6696, 186.534277
   6704, 186.712012
   6712, 186.529395
   6720, 186.752441
   6728, 186.549121
   6736, 186.751758
   6744, 186.559180
   6752, 186.728906
   6760, 186.550000
   6768, 186.736035
   6776, 186.561816
   6784, 186.755176
   6792, 186.540430
   6800, 186.749902
   6808, 186.547266
   6816, 186.747656
   6824, 186.544629
   6832, 186.761328
   6840, 186.537012
   6848, 186.750781
   6856, 186.515332
   6864, 186.751758
   6872, 186.565039
   6880, 186.748145
   6888, 186.547656
   6896, 186.751367
   6904, 186.547949
   6912, 186.741406
   6920, 186.544629
   6928, 186.748242
   6936, 186.564063
   6944, 186.762793
   6952, 186.542480
   6960, 186.736035
   6968, 186.567285
   6976, 186.748535
   6984, 186.545898
   6992, 186.731934
   7000, 186.516113
   7008, 186.745996
   7016, 186.531152
   7024, 186.717383
   7032, 186.530957
   7040, 186.747852
   7048, 186.554785
   7056, 186.730078
   7064, 186.548242
   7072, 186.719629
   7080, 186.543945
   7088, 186.741699
   7096, 186.527441
   7104, 186.746094
   7112, 186.543164
   7120, 186.697266
   7128, 186.552539
   7136, 186.755371
   7144, 186.548438
   7152, 186.761230
   7160, 186.547070
   7168, 186.731738
   7176, 186.533301
   7184, 186.746387
   7192, 186.542871
   7200, 186.745508
   7208, 186.537305
   7216, 186.752930
   7224, 186.528125
   7232, 186.747070
   7240, 186.552441
   7248, 186.730273
   7256, 186.528906
   7264, 186.742285
   7272, 186.550195
   7280, 186.730469
   7288, 186.534863
   7296, 186.737402
   7304, 186.537793
   7312, 186.745605
   7320, 186.544141
   7328, 186.745410
   7336, 186.532617
   7344, 186.729199
   7352, 186.535645
   7360, 186.734180
   7368, 186.533887
   7376, 186.745996
   7384, 186.507910
   7392, 186.718164
   7400, 186.541699
   7408, 186.743652
   7416, 186.532520
   7424, 186.731250
   7432, 186.544141
   7440, 186.744336
   7448, 186.549512
   7456, 186.745801
   7464, 186.544727
   7472, 186.749609
   7480, 186.548438
   7488, 186.752246
