Assuming page size is 4 KB

Global6: Testing associativity of L1 TLB.
   entries, array size (KB), stride (KB), latency
   9,    0.14, 0.015625, 185.529687
   9,    0.21, 0.023438, 185.325684
   9,    0.21, 0.023438, 185.523145
   9,    0.28, 0.031250, 185.563281
   9,    0.35, 0.039062, 186.029102
   9,    0.42, 0.046875, 186.229297
   9,    0.49, 0.054688, 187.011328
   9,    0.56, 0.062500, 186.292773
   9,    0.70, 0.078125, 186.274414
   9,    0.77, 0.085938, 186.051660
   9,    0.91, 0.101562, 186.275293
   9,    1.12, 0.125000, 186.530371
   9,    1.34, 0.148438, 187.231836
   9,    1.62, 0.179688, 186.135156
   9,    1.90, 0.210938, 186.504687
   9,    2.25, 0.250000, 186.296777
   9,    2.67, 0.296875, 186.513184
   9,    3.16, 0.351562, 186.294922
   9,    3.80, 0.421875, 186.507812
   9,    4.50, 0.500000, 187.224023
   9,    5.34, 0.593750, 186.744727
   9,    6.40, 0.710938, 185.815527
   9,    7.59, 0.843750, 186.512109
   9,    9.00, 1.000000, 186.303418
   9,   10.69, 1.187500, 186.996484
   9,   12.73, 1.414062, 186.408691
   9,   15.12, 1.679688, 186.748145
   9,   18.00, 2.000000, 186.539551
   9,   21.38, 2.375000, 186.270215
   9,   25.45, 2.828125, 186.299902
   9,   30.30, 3.367188, 186.258203
   9,   36.00, 4.000000, 186.551953
   9,   42.82, 4.757812, 186.748730
   9,   50.91, 5.656250, 186.052539
   9,   60.54, 6.726562, 186.494141
   9,   72.00, 8.000000, 186.543359
   9,   85.64, 9.515625, 186.487988
   9,  101.81, 11.312500, 186.047363
   9,  121.08, 13.453125, 186.959961
   9,  144.00, 16.000000, 186.923926
   9,  171.21, 19.023438, 186.254102
   9,  203.62, 22.625000, 185.825000
   9,  242.16, 26.906250, 186.255566
   9,  288.00, 32.000000, 186.546484
   9,  342.49, 38.054688, 186.270508
   9,  407.32, 45.257812, 187.084668
   9,  484.38, 53.820312, 186.745117
   9,  576.00, 64.000000, 186.527637
   9,  684.98, 76.109375, 186.001855
   9,  814.57, 90.507812, 186.775977
   9,  968.70, 107.632812, 186.738770
   9, 1152.00, 128.000000, 187.530664
   9, 1369.97, 152.218750, 185.762500
   9, 1629.14, 181.015625, 187.014746
   9, 1937.39, 215.265625, 186.478320
   9, 2304.00, 256.000000, 186.528809
   9, 2739.94, 304.437500, 186.848047
   9, 3258.35, 362.039062, 186.535547
   9, 3874.85, 430.539062, 186.992090
   9, 4608.00, 512.000000, 186.297070
   9, 5479.88, 608.875000, 186.261426
   9, 6516.70, 724.078125, 186.784180
   9, 7749.70, 861.078125, 186.484473
   9, 9216.00, 1024.000000, 186.309570
   9, 10959.75, 1217.750000, 187.221484
   9, 13033.41, 1448.156250, 186.530566
   9, 15499.41, 1722.156250, 186.728320
   9, 18432.00, 2048.000000, 186.531445
   9, 21919.50, 2435.500000, 186.002344
   9, 26066.81, 2896.312500, 186.272266
   9, 30998.81, 3444.312500, 186.623437
   9, 36864.00, 4096.000000, 186.288574
   9, 43838.93, 4870.992188, 185.753320
   9, 52133.55, 5792.617188, 186.531738
   9, 61997.62, 6888.625000, 185.995996
   9, 73728.00, 8192.000000, 186.293652
   9, 87677.86, 9741.984375, 186.231543
   9, 104267.11, 11585.234375, 187.005078
   9, 123995.25, 13777.250000, 185.977344
   9, 147456.00, 16384.000000, 186.283105
   9, 175355.72, 19483.968750, 186.629102
   9, 208534.29, 23170.476562, 186.998242
   9, 247990.43, 27554.492188, 186.237012
   9, 294912.00, 32768.000000, 186.284082
   9, 350711.44, 38967.937500, 186.478906
   9, 417068.58, 46340.953125, 186.516113
   9, 495980.86, 55108.984375, 186.229102
   10,    0.08, 0.007812, 185.717480
   10,    0.08, 0.007812, 185.529199
   10,    0.08, 0.007812, 185.303320
   10,    0.16, 0.015625, 185.522949
   10,    0.16, 0.015625, 185.309961
   10,    0.16, 0.015625, 185.516016
