Assuming page size is 64 KB
8
8

Global6: Testing associativity of L1 TLB.
   entries, array size (KB), stride (KB), latency
   16, 4096.00, 256.000000, 186.501074
   16, 4870.00, 304.375000, 186.465137
   16, 5792.00, 362.000000, 186.231934
   16, 6888.00, 430.500000, 186.439160
   16, 8192.00, 512.000000, 186.509570
   16, 9742.00, 608.875000, 186.849023
   16, 11586.00, 724.125000, 186.784766
   16, 13778.00, 861.125000, 186.965527
   16, 16384.00, 1024.000000, 186.377832
   16, 19484.00, 1217.750000, 186.834668
   16, 23170.00, 1448.125000, 186.662891
   16, 27554.00, 1722.125000, 186.293164
   16, 32768.00, 2048.000000, 186.504687
   16, 38968.00, 2435.500000, 186.294824
   16, 46340.00, 2896.250000, 186.506738
   16, 55108.00, 3444.250000, 186.703027
   16, 65536.00, 4096.000000, 186.499512
   16, 77936.00, 4871.000000, 186.584961
   16, 92682.00, 5792.625000, 186.105371
   16, 110218.00, 6888.625000, 186.567187
   16, 131072.00, 8192.000000, 186.485449
   16, 155872.00, 9742.000000, 186.725684
   16, 185364.00, 11585.250000, 185.975293
   16, 220436.00, 13777.250000, 186.323145
   16, 262144.00, 16384.000000, 186.518750
   16, 311744.00, 19484.000000, 186.599023
   16, 370728.00, 23170.500000, 186.156250
   16, 440872.00, 27554.500000, 186.433398
   16, 524288.00, 32768.000000, 186.388672
   16, 623488.00, 38968.000000, 186.598437
   16, 741456.00, 46341.000000, 186.526563
   16, 881744.00, 55109.000000, 186.437109
   16, 1048576.00, 65536.000000, 186.524902
   16, 1246974.00, 77935.875000, 186.850684
   16, 1482910.00, 92681.875000, 186.813574
   16, 1763488.00, 110218.000000, 186.587598
   16, 2097152.00, 131072.000000, OOM.
   16, 2493948.00, 155871.750000, OOM.
   16, 2965820.00, 185363.750000, OOM.
   16, 3526976.00, 220436.000000, OOM.
   16, 4194304.00, 262144.000000, OOM.
   16, 4987896.00, 311743.500000, OOM.
   16, 5931642.00, 370727.625000, OOM.
   16, 7053950.00, 440871.875000, OOM.
   16, 8388608.00, 524288.000000, OOM.
   16, 9975792.00, 623487.000000, OOM.
   16, 11863284.00, 741455.250000, OOM.
   16, 14107900.00, 881743.750000, OOM.
   17,    2.12, 0.125000, 186.468555
   17,    2.12, 0.125000, 186.796484
   17,    2.12, 0.125000, 186.437012
   17,    4.25, 0.250000, 186.631934
   17,    4.25, 0.250000, 186.585059
   17,    4.25, 0.250000, 186.620801
   17,    6.38, 0.375000, 186.721191
   17,    6.38, 0.375000, 186.521094
   17,    8.50, 0.500000, 186.457520
   17,   10.62, 0.625000, 187.533398
   17,   12.75, 0.750000, 186.708008
   17,   14.88, 0.875000, 186.772559
   17,   17.00, 1.000000, 186.557520
   17,   21.25, 1.250000, 187.431348
   17,   23.38, 1.375000, 186.588379
   17,   27.62, 1.625000, 186.926855
   17,   34.00, 2.000000, 186.585059
   17,   40.38, 2.375000, 187.048828
   17,   48.88, 2.875000, 186.571387
   17,   57.38, 3.375000, 186.811230
   17,   68.00, 4.000000, 186.567090
   17,   80.75, 4.750000, 187.044043
   17,   95.62, 5.625000, 186.077832
   17,  114.75, 6.750000, 186.652832
   17,  136.00, 8.000000, 186.448535
   17,  161.50, 9.500000, 186.887012
   17,  193.38, 11.375000, 186.980859
   17,  229.50, 13.500000, 186.763086
   17,  272.00, 16.000000, 186.438379
   17,  323.00, 19.000000, 186.638867
   17,  384.62, 22.625000, 185.935645
   17,  456.88, 26.875000, 186.609082
   17,  544.00, 32.000000, 186.590234
   17,  646.00, 38.000000, 186.520996
   17,  769.25, 45.250000, 185.925879
   17,  915.88, 53.875000, 186.631348
   17, 1088.00, 64.000000, 186.564941
   17, 1294.12, 76.125000, 185.711230
   17, 1538.50, 90.500000, 186.465918
   17, 1829.62, 107.625000, 186.394141
   17, 2176.00, 128.000000, 197.412207
   17, 2588.25, 152.250000, 197.617578
   17, 3077.00, 181.000000, 197.502148
   17, 3659.25, 215.250000, 197.491699
   17, 4352.00, 256.000000, 197.523535
   17, 5174.38, 304.375000, 197.357812
   17, 6154.00, 362.000000, 197.149414
   17, 7318.50, 430.500000, 197.477734
   17, 8704.00, 512.000000, 197.416309
   17, 10350.88, 608.875000, 197.742969
   17, 12310.12, 724.125000, 197.807813
   17, 14639.12, 861.125000, 198.012109
   17, 17408.00, 1024.000000, 197.277539
